OBJECTID,BIN,ST_NUMBER,ST_UNIT,UNIT_TYPE,PREDIR,ST_NAME,SUFFIX,POSTDIR,ZIP,STSEGID,USE_TYPE,created_user,created_date,last_edited_user,last_edited_date,MasterAddressID
8383,82021084,124,, , ,PIEDMONT,AVE,N,22903, ,R,,,,,8383
8384,147509755,1702,, ,E,MARKET,ST, ,22902, ,R,,,,,8384
8386,91041883,207,, , ,TODD,AVE, ,22903, ,R,,,,,8386
8387,255513091,115,, , ,ROBINSON WOODS, , ,22903, ,R,,,,,8387
8388,258913122,113,, , ,ROBINSON WOODS, , ,22903, ,R,,,,,8388
8389,263213154,111,, , ,ROBINSON WOODS, , ,22903, ,R,,,,,8389
8529,1403413478,1108,, , ,ST CHARLES,CT, ,22901, ,R,,,,,8529
8530,1409513357,1111,, , ,ST CHARLES,CT, ,22901, ,R,,,,,8530
8531,1409413396,1109,, , ,ST CHARLES,CT, ,22901, ,R,,,,,8531
8532,232412830,104,, , ,LOCUST LANE,CT, ,22901, ,R,,,,,8532
8533,233012810,105,, , ,LOCUST LANE,CT, ,22901, ,R,,,,,8533
8534,238112880,101,, , ,LOCUST LANE,CT, ,22901, ,R,,,,,8534
8535,28457464,1138,, , ,ST CLAIR,AVE, ,22901, ,R,,,,,8535
8641,6768183,1620,403,APT, ,JEFFERSON PARK,AVE, ,22903, ,R,,,,,8641
8710,90611738,1101,, , ,FOREST HILLS,AVE, ,22903, ,R,,,,,8710
8711,114754610,1017,, , ,5TH,ST,SW,22903, ,R,,,,,8711
8712,140176612,160,, , ,OLD FIFTH,CIR, ,22903, ,R,,,,,8712
8713,140066657,112,, , ,OLD FIFTH,CIR, ,22903, ,R,,,,,8713
8362,38847683,1220,E,APT, ,SMITH,ST, ,22901, ,R,,,,,8362
8440,113834419,1402,B,APT, ,MIDLAND,ST, ,22902, ,R,,,,,8440
8496,1002017274,915,3,#, ,BELMONT,AVE, ,22902, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52273
8497,1002017274,915,4,#, ,BELMONT,AVE, ,22902, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52274
8526,692022449,108,11,#, ,2ND,ST,SW,22902, , ,,,PFAUTZ,2016-11-28T17:23:31.000Z,52288
8551,6827176,429,2C,#, ,MONROE,LN, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:31.000Z,52292
8552,6827176,429,2D,#, ,MONROE,LN, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:31.000Z,52293
8681,357814231,706,A,#, ,MADISON,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52323
8682,374614360,505,8,#, ,16TH,ST,NW,22903, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52324
8686,7521593,618,1/2,#, ,DICE,ST, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52325
8489,1412016229,216,103,APT, ,14TH,ST,NW,22903, ,R,,,,,8489
8687,631217325,211,9,#, ,CREAM,ST, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52326
8691,468715440,409,B,#, ,13TH,ST,NW,22903, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52327
8701,343514085,613,D,#, ,MADISON,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52329
8704,7074279,224,B,#, ,9TH,ST,SW,22903, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52331
8705,332913853,824,G,#, ,CABELL,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52332
8708,468715440,409,D,#, ,13TH,ST,NW,22903, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52333
8756,341014033,41,1,#, ,UNIVERSITY,CIR, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52334
8757,367514317,1409,2,#, ,GRADY,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52335
8758,341014033,41,2,#, ,UNIVERSITY,CIR, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52336
8759,357814117,1017,B,#, ,PRESTON,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52337
8761,357814104,1029,A,#, ,PRESTON,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52338
8762,357814117,1017,A,#, ,PRESTON,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52339
8771,246413021,1607,A,#, ,WESTWOOD,RD, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52340
8772,436415063,2003,A,#, ,LEWIS MOUNTAIN,RD, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52341
8775,55618078,1328,B,#, ,LONG,ST, ,22902, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52342
8785,343514085,615,E,#, ,MADISON,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52343
8789,332913777,816,A,#, ,CABELL,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52346
8790,88061525,518,A,#, ,RIDGE,ST, ,22902, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52347
8791,103012912,759,D,#, ,RIDGE,ST, ,22902, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52348
8792,83011212,405,B,#, ,PATON,ST, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52349
8793,87661485,107,B,#, ,NORTH BAKER,ST, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52350
8715,112464151,825,, , ,ORANGEDALE,AVE, ,22903, ,R,,,,,8715
8716,169911988,1509,, , ,GREENLEAF,LN, ,22903, ,R,,,,,8716
8717,92981929,1404,, , ,CHERRY,AVE, ,22903, ,R,,,,,8717
8718,94352126,1419,, , ,BRIARCLIFF,AVE, ,22903, ,R,,,,,8718
8719,119885136,1307,, , ,BELMONT PARK, , ,22902, ,R,,,,,8719
8720,69128557,311,, , ,10TH,ST,NE,22902, , ,,,,,8720
8721,96682260,701,, , ,AVON,ST, ,22902, ,R,,,,,8721
8722,105523258,224,, , ,STRIBLING,AVE, ,22903, ,R,,,,,8722
8723,88910984,1705,, , ,YORKTOWN,DR, ,22901, ,R,,,,,8723
8724,6965214,221,, , ,9TH,ST,SW,22903, ,R,,,,,8724
8727,363014243,916,, , ,MARSHALL,ST, ,22901, ,R,,,,,8727
8728,386114493,906,, , ,MARSHALL,ST, ,22901, ,R,,,,,8728
8729,41087778,1015,, , ,COLEMAN,ST, ,22901, ,R,,,,,8729
8730,48747947,912,, , ,COLEMAN,ST, ,22901, ,R,,,,,8730
8731,568016373,190,, , ,15TH,ST,NW,22903, ,R,,,,,8731
8732,109803992,103,, , ,ELKHORN,RD, ,22903, ,R,,,,,8732
8733,131496517,2726,, , ,JEFFERSON PARK,AVE, ,22903, ,R,,,,,8733
8734,98772413,2304,, , ,JEFFERSON PARK,AVE, ,22903, ,R,,,,,8734
8735,7315433,12,, , ,GILDERSLEEVE WOOD, , ,22903, ,R,,,,,8735
8736,310313714,107,, , ,BIRDWOOD,CT, ,22903, ,R,,,,,8736
8737,115184651,721,, , ,SHAMROCK,RD, ,22903, ,R,,,,,8737
8738,341414026,125,, , ,BIRDWOOD,CT, ,22903, ,R,,,,,8738
8739,214212630,1637,, , ,RUGBY,AVE, ,22903, ,R,,,,,8739
8740,1445217397,719,, , ,RAINIER,RD, ,22903, ,R,,,,,8740
8741,1461717363,811,, , ,RAINIER,RD, ,22903, ,R,,,,,8741
8742,139906473,137,, , ,OLD FIFTH,CIR, ,22903, ,R,,,,,8742
8743,118465009,720,, , ,VILLAGE,RD, ,22903, ,R,,,,,8743
8744,126265946,433,, , ,MOSELEY,DR, ,22903, ,R,,,,,8744
8745,127185988,430,, , ,MOSELEY,DR, ,22903, ,R,,,,,8745
8746,127796131,2610,, , ,WILLARD,DR, ,22903, ,R,,,,,8746
8747,118805064,1513,, , ,ROSA,TER, ,22902, ,R,,,,,8747
8748,128776181,2603,, , ,WILLARD,DR, ,22903, ,R,,,,,8748
8749,129246301,213,, , ,HARRIS,RD, ,22903, ,R,,,,,8749
8752,35327599,1020,, , ,LOCUST,AVE, ,22901, ,R,,,,,8752
8753,85619142,433,, , ,RIVERSIDE,AVE, ,22902, ,R,,,,,8753
8754,143011640,1429,, , ,GENTRY,LN, ,22903, ,R,,,,,8754
8755,143211634,1427,, , ,GENTRY,LN, ,22903, ,R,,,,,8755
8764,72618681,434,, , ,MEADE,AVE, ,22902, ,R,,,,,8764
8765,73138695,432,, , ,MEADE,AVE, ,22902, ,R,,,,,8765
8837,726621635,319,, ,E,WATER,ST, ,22902, , ,,,,,8837
8863,6930195,110,, , ,3RD,ST,NE,22902, , ,,,,,8863
8985,6768183,1620,105,APT, ,JEFFERSON PARK,AVE, ,22903, ,R,,,,,8985
8317,7010228,250,110,#,W,MAIN,ST, ,22902, , ,,,PFAUTZ,2016-11-28T17:23:22.000Z,52186
8322,6984753,107,201,#, ,1ST,ST,S,22902, , ,,,PFAUTZ,2016-11-28T17:23:25.000Z,52190
8324,7558530,100,3B,#,W,SOUTH,ST, ,22902, , ,,,PFAUTZ,2016-11-28T17:23:22.000Z,52191
8079,55210520,2302,A,APT, ,ANGUS,RD, ,22901, ,R,,,,,8079
8153,8012954,108,, , ,KENT,TER, ,22903, ,R,,,,,8153
8154,8072989,105,, , ,KENT,TER, ,22903, ,R,,,,,8154
8155,80761012,128,, , ,OBSERVATORY,AVE, ,22903, ,R,,,,,8155
8156,91071750,239,, , ,SHAMROCK,RD, ,22903, ,R,,,,,8156
8157,91221798,111,, , ,STRATFORD,CT, ,22903, ,R,,,,,8157
8170,67508478,703,, ,E,JEFFERSON,ST, ,22902, , ,,,,,8170
8171,67528480,800,, ,E,HIGH,ST, ,22902, , ,,,,,8171
8173,87874729,602,, , ,HINTON,AVE, ,22902, ,R,,,,,8173
8174,1437617188,207,, , ,BROOKWOOD,DR, ,22902, ,R,,,,,8174
8175,1437617188,209,, , ,BROOKWOOD,DR, ,22902, ,R,,,,,8175
8177,94739546,1405,, , ,BURGESS,LN, ,22902, ,R,,,,,8177
8178,95889565,822,, , ,HINTON,AVE, ,22902, , ,,,,,8178
8179,126065846,610,, , ,PALATINE,AVE, ,22902, ,R,,,,,8179
8180,86229174,423,, , ,RIVERSIDE,AVE, ,22902, ,R,,,,,8180
8182,127936074,926,, , ,RAYMOND,RD, ,22902, ,R,,,,,8182
8183,134566924,106,, , ,HILTON,DR, ,22903, ,R,,,,,8183
8184,134586902,108,, , ,HILTON,DR, ,22903, ,R,,,,,8184
8186,135597026,200,, , ,CAMELLIA,DR, ,22903, ,R,,,,,8186
8187,135617018,122,, , ,AZALEA,DR, ,22903, ,R,,,,,8187
8191,579116492,835,, , ,PAGE,ST, ,22903, ,R,,,,,8191
8211,152711754,1400,, , ,RUGBY,RD, ,22903, ,R,,,,,8211
8212,152911749,1707,, , ,BRUCE,AVE, ,22903, ,R,,,,,8212
8213,153911788,1329,, , ,RUGBY,RD, ,22903, ,R,,,,,8213
8214,156411820,1327,, , ,RUGBY,RD, ,22903, ,R,,,,,8214
8215,156711821,1621,, , ,BRUCE,AVE, ,22903, ,R,,,,,8215
8216,67938528,511,, , ,13TH,ST,NE,22902, ,R,,,,,8216
8794,332913853,824,E,#, ,CABELL,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52351
8795,332913853,824,F,#, ,CABELL,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52352
8803,109343974,932,D,#, ,1ST,ST,S,22902, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52353
8804,137127215,1623,A,#, ,MERIDIAN,ST, ,22902, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52354
8806,134306871,1806,A,#, ,EASTVIEW,ST, ,22902, ,R,,,PFAUTZ,2016-11-28T17:23:33.000Z,52355
8084,129146220,911,B,APT, ,ROCKLAND,AVE, ,22902, ,R,,,,,8084
8176,94562067,606,, , ,MONTICELLO,AVE, ,22902, ,R,,,,,8176
8181,95409549,816,, , ,HINTON,AVE, ,22902, ,C,,,,,8181
8189,6785154,418,, ,E,MARKET,ST, ,22902, ,C,,,,,8189
8225,32807550,1038,A,APT, ,LOCUST,AVE, ,22901, ,R,,,,,8225
8226,32807550,1038,B,APT, ,LOCUST,AVE, ,22901, ,R,,,,,8226
8301,32387545,1040,A,APT, ,LOCUST,AVE, ,22901, ,R,,,,,8301
8338,594516670,608,B,APT, ,ST CHARLES,AVE, ,22902, ,R,,,,,8338
8493,594516670,608,A,APT, ,ST CHARLES,AVE, ,22902, ,R,,,,,8493
8596,13933265,730,1B,UNIT, ,WALKER,SQ, ,22903, ,R,,,,,8596
8601,497417425,301,5048,APT,,15TH,ST,NW,22903, ,R,,,,,8601
8602,497417425,301,5049,APT,,15TH,ST,NW,22903, ,R,,,,,8602
8709,525815908,201,4J,APT, ,15TH,ST,NW,22903, ,R,,,,,8709
8807,525815908,201,4B,APT, ,15TH,ST,NW,22903, ,R,,,,,8807
8808,525815908,201,4C,APT, ,15TH,ST,NW,22903, ,R,,,,,8808
8942,6549151,106,4A,APT, ,STADIUM,RD, ,22903, ,R,,,,,8942
8943,6549151,106,4B,APT, ,STADIUM,RD, ,22903, ,R,,,,,8943
8334,668917132,255,204,#,W,MAIN,ST, ,22902, ,C,,,PFAUTZ,2016-11-28T17:23:22.000Z,52199
8361,680722036,105,200,#,W,MAIN,ST, ,22902, , ,,,PFAUTZ,2016-11-28T17:23:22.000Z,52210
8404,6917202,500,A,#,W,MAIN,ST, ,22903, ,C,,,PFAUTZ,2016-11-28T17:23:22.000Z,52216
8405,6917202,500,B,#,W,MAIN,ST, ,22903, ,C,,,PFAUTZ,2016-11-28T17:23:22.000Z,52217
8448,7558530,106,214,#,W,SOUTH,ST, ,22902, , ,,,PFAUTZ,2016-11-28T17:23:22.000Z,52248
8449,7558530,100,2C,#,W,SOUTH,ST, ,22902, , ,,,PFAUTZ,2016-11-28T17:23:22.000Z,52249
8469,665521623,223,B2,#,W,MAIN,ST, ,22902, , ,,,PFAUTZ,2016-11-28T17:23:22.000Z,52261
8702,303213634,1124,B,#, ,PRESTON,AVE, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:25.000Z,52330
8787,13937149,428,212,#, ,MONROE,LN, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:26.000Z,52344
8905,338513976,121,, , ,BIRDWOOD,CT, ,22903, ,R,,,,,8905
8906,330413888,142,, , ,BIRDWOOD,CT, ,22903, ,R,,,,,8906
8932,165911966,2104,14,APT, ,ARLINGTON,BLVD, ,22903, ,R,,,,,8932
8933,165911966,2104,15,APT, ,ARLINGTON,BLVD, ,22903, ,R,,,,,8933
8940,543316153,510,1,APT, ,MCINTIRE,RD, ,22902, ,R,,,,,8940
8947,1507518324,401,205,APT,,4TH,ST,NW,22903, ,R,,,,,8947
8948,1507518324,401,206,APT,,4TH,ST,NW,22903, ,R,,,,,8948
8949,1507518324,401,207,APT,,4TH,ST,NW,22903, ,R,,,,,8949
8984,1436915997,230,204,APT, ,15TH,ST,NW,22903, ,R,,,,,8984
8986,165911995,2102,9,APT, ,ARLINGTON,BLVD, ,22903, ,R,,,,,8986
8788,13937149,428,301,#, ,MONROE,LN, ,22903, ,R,,,PFAUTZ,2016-11-28T17:23:26.000Z,52345
8934,665521623,223,C,#,W,MAIN,ST, ,22902, , ,,,PFAUTZ,2016-11-28T17:23:22.000Z,52357
8935,665521623,223,D,#,W,MAIN,ST, ,22902, , ,,,PFAUTZ,2016-11-28T17:23:22.000Z,52358
8938,454815272,633,1/2,#, ,ROSE HILL,DR, ,22903, ,C,,,PFAUTZ,2016-11-28T17:23:25.000Z,52361
8941,521515870,500,A,#, ,HENRY,AVE, ,22903, ,C,,,PFAUTZ,2016-11-28T17:23:25.000Z,52362
8963,7977959,207,B,#, ,DICE,ST, ,22902, ,C,,,PFAUTZ,2016-11-28T17:23:23.000Z,52366
8965,7667634,410,406,#,E,WATER,ST, ,22902, ,C,,,PFAUTZ,2016-11-28T17:23:23.000Z,52368
8966,7667634,410,500,#,E,WATER,ST, ,22902, ,C,,,PFAUTZ,2016-11-28T17:23:25.000Z,52369
8976,516815844,750,102,#, ,HARRIS,ST, ,22903, ,C,,,PFAUTZ,2016-11-28T17:23:25.000Z,52377
8977,516815844,750,203,#, ,HARRIS,ST, ,22903, ,C,,,PFAUTZ,2016-11-28T17:23:25.000Z,52378
8994,688121644,201,F,#,E,MAIN,ST, ,22902, , ,,,PFAUTZ,2016-11-28T17:23:25.000Z,52386
8995,688121644,201,H,#,E,MAIN,ST, ,22902, , ,,,PFAUTZ,2016-11-28T17:23:25.000Z,52387
8032,128986363,1610,G,UNIT, ,MONTICELLO,AVE, ,22902, ,R,,,,,8032
8323,99399685,1708,B,APT, ,CHESAPEAKE,ST, ,22902, ,R,,,,,8323
8331,128986296,1604,H,UNIT, ,MONTICELLO,AVE, ,22902, ,R,,,,,8331
8340,128986296,1602,F,UNIT, ,MONTICELLO,AVE, ,22902, ,R,,,,,8340
8439,99399685,1708,A,APT, ,CHESAPEAKE,ST, ,22902, ,R,,,,,8439
8471,128986296,1604,G,UNIT, ,MONTICELLO,AVE, ,22902, ,R,,,,,8471
8500,91189404,1406,B,APT, ,CHESAPEAKE,ST, ,22902, ,R,,,,,8500
8505,128986296,1602,D,UNIT, ,MONTICELLO,AVE, ,22902, ,R,,,,,8505
8506,128986296,1602,E,UNIT, ,MONTICELLO,AVE, ,22902, ,R,,,,,8506
8632,70398592,316,, , ,10TH,ST,NE,22902, , ,,,,,8632
8633,70498601,409,, , ,12TH,ST,NE,22902, ,R,,,,,8633
8634,81501085,219,, , ,DICE,ST, ,22902, ,R,,,,,8634
8635,82911211,405,, , ,OAKMONT,ST, ,22902, ,R,,,,,8635
8636,136677159,1638,, , ,MERIDIAN,ST, ,22902, ,R,,,,,8636
8637,136767157,1641,, , ,MERIDIAN,ST, ,22902, ,R,,,,,8637
8638,137627260,1627,, , ,MERIDIAN,ST, ,22902, ,R,,,,,8638
8639,504115730,334,, , ,11TH,ST,NW,22903, ,R,,,,,8639
8640,507015759,332,, , ,11TH,ST,NW,22903, ,R,,,,,8640
8643,1387717416,931,, , ,RAYMOND,RD, ,22902, ,R,,,,,8643
8644,140515251,1000,, , ,ELLIOTT,AVE, ,22902, ,R,,,,,8644
8645,1452217386,105,, , ,BAYLOR,PL, ,22902, ,R,,,,,8645
8653,479615521,616,, , ,MCINTIRE,RD, ,22902, ,R,,,,,8653
8655,486015565,610,, , ,MCINTIRE,RD, ,22902, ,R,,,,,8655
8656,494015637,800,, , ,2ND,ST,NE,22902, ,R,,,,,8656
8657,65910614,2209,, , ,BANBURY,ST, ,22901, ,R,,,,,8657
8658,66210627,2106,, , ,TARLETON,DR, ,22901, ,R,,,,,8658
8659,250713051,906,, , ,LOCUST,LN, ,22901, ,R,,,,,8659
8660,67710646,2200,, , ,BANBURY,ST, ,22901, ,R,,,,,8660
8661,504915735,701,, , ,NORTHWOOD,AVE, ,22902, ,R,,,,,8661
8662,506815768,100,, , ,NORTHWOOD,CIR, ,22902, ,R,,,,,8662
8663,515615896,105,, , ,PERRY,DR, ,22902, ,R,,,,,8663
8665,126255923,2530,, , ,WILLARD,DR, ,22903, ,R,,,,,8665
8668,1409313425,1107,, , ,ST CHARLES,CT, ,22901, ,R,,,,,8668
8669,36257627,1029,, , ,ST CLAIR,AVE, ,22901, ,R,,,,,8669
8670,41877756,1211,, , ,ST GEORGE,AVE, ,22901, ,R,,,,,8670
8671,43917819,1220,, , ,ST GEORGE,AVE, ,22901, ,R,,,,,8671
8672,94989544,1508,, , ,CHESAPEAKE,ST, ,22902, ,R,,,,,8672
8726,35387598,1027,, , ,MARTIN,ST, ,22901, ,R,,,emerickr,2014-12-10T15:20:35.000Z,8726
8962,98199674,1731,A,APT, ,CHESAPEAKE,ST, ,22902, ,R,,,,,8962
8011,136877181,125,B,APT, ,LONGWOOD,DR, ,22903, ,R,,,,,8011
8085,130416428,203,A,APT, ,PALATINE,AVE, ,22902, ,R,,,,,8085
8402,137487241,215,A,APT, ,CAMELLIA,DR, ,22903, ,R,,,,,8402
8403,137217219,129,A,APT, ,LONGWOOD,DR, ,22903, ,R,,,,,8403
8472,135006971,1000,B,APT, ,ROUGEMONT,AVE, ,22902, ,R,,,,,8472
8478,7482452,520,3,APT,E,MAIN,ST, ,22902, ,R,,,,,8478
8479,7482452,520,4,APT,E,MAIN,ST, ,22902, ,R,,,,,8479
8537,41457771,1217,, , ,ST GEORGE,AVE, ,22901, ,R,,,,,8537
8538,41847752,1204,, , ,ST GEORGE,AVE, ,22901, ,R,,,,,8538
8539,43207794,1214,, , ,ST GEORGE,AVE, ,22901, ,R,,,,,8539
8540,43317798,1216,, , ,ST GEORGE,AVE, ,22901, ,R,,,,,8540
8541,43677809,1218,, , ,ST GEORGE,AVE, ,22901, ,R,,,,,8541
8542,246213019,918,, , ,LOCUST,LN, ,22901, ,R,,,,,8542
8543,94279522,1504,, , ,CHESAPEAKE,ST, ,22902, ,R,,,,,8543
8544,94559526,210,, , ,18TH,ST,NE,22902, ,R,,,,,8544
8545,97439664,1729,, , ,CHESAPEAKE,ST, ,22902, ,R,,,,,8545
8546,565116375,317,, , ,PARKWAY,ST, ,22902, ,R,,,,,8546
8547,566916413,321,, , ,PARKWAY,ST, ,22902, ,R,,,,,8547
8571,309413701,105,, , ,AMHERST,CMN, ,22903, ,R,,,,,8571
8572,309713704,103,, , ,AMHERST,CMN, ,22903, ,R,,,,,8572
8573,112494187,614,, , ,ALTAVISTA,AVE, ,22902, ,R,,,,,8573
8574,112574192,716,, , ,ELLIOTT,AVE, ,22902, ,R,,,,,8574
8575,113584346,732,, , ,ELLIOTT,AVE, ,22902, ,R,,,,,8575
8576,113604453,707,, , ,ALTAVISTA,AVE, ,22902, ,R,,,,,8576
8577,114654605,715,, , ,ALTAVISTA,AVE, ,22902, ,R,,,,,8577
8578,114914636,717,, , ,ALTAVISTA,AVE, ,22902, ,R,,,,,8578
8579,115144671,719,, , ,ALTAVISTA,AVE, ,22902, ,R,,,,,8579
8580,116294800,703,, , ,DRUID,AVE, ,22902, ,R,,,,,8580
8581,116574829,705,, , ,DRUID,AVE, ,22902, ,R,,,,,8581
8609,1320917406,502,B,APT, ,MOSELEY,DR, ,22903, ,R,,,,,8609
8614,132456585,503,B,APT, ,MOSELEY,DR, ,22903, ,R,,,,,8614
8616,132356613,114,A,APT, ,HARRIS,RD, ,22903, ,R,,,,,8616
8622,84209104,406,, , ,RIVERSIDE,AVE, ,22902, ,R,,,,,8622
8623,83409065,418,, , ,RIVERSIDE,AVE, ,22902, ,R,,,,,8623
8624,596416699,408,, , ,ALTAMONT,CIR, ,22902, ,R,,,,,8624
8625,596816692,407,, , ,ALTAMONT,ST, ,22902, ,R,,,,,8625
8626,597116707,404,, , ,ALTAMONT,ST, ,22902, ,R,,,,,8626
8627,134076835,100,, , ,LEIGH,PL, ,22902, ,R,,,,,8627
8628,134166853,105,, , ,SHALE,PL, ,22902, ,R,,,,,8628
8629,134756926,102,, , ,SHALE,PL, ,22902, ,R,,,,,8629
8630,134796930,109,, , ,SHALE,PL, ,22902, ,R,,,,,8630
8688,132456585,503,A,APT, ,MOSELEY,DR, ,22903, ,R,,,,,8688
8689,1324917407,504,A,APT, ,MOSELEY,DR, ,22903, ,R,,,,,8689
8690,130866417,2617,A,APT, ,WILLARD,DR, ,22903, ,R,,,,,8690
8698,7482452,520,8,APT,E,MAIN,ST, ,22902, ,R,,,,,8698
8773,7482452,520,6,APT,E,MAIN,ST, ,22902, ,R,,,,,8773
8802,126695945,103,B,APT, ,PARK,LN,W,22903, ,R,,,,,8802
8041,680722036,105,, ,W,MAIN,ST, ,22902, , ,,,emerickr,2014-10-16T20:05:41.000Z,8041
8072,78939231,1701,, , ,CHESAPEAKE,ST, ,22902, ,C,,,,,8072
8089,7626744,413,, , ,DICE,ST, ,22903, ,R,,,,,8089
8107,98911053,1245,, , ,CEDARS,CT, ,22903, ,C,,,,,8107
8124,1436919616,225,402,APT, ,14TH,ST,NW,22903, ,R,,,,,8124
8172,667017135,511,, ,W,MAIN,ST, ,22903, ,C,,,emerickr,2014-10-16T20:05:41.000Z,8172
8254,731422452,100,, ,E,WATER,ST, ,22902, ,C,,,,,8254
8311,695822450,118,, ,W,MAIN,ST, ,22902, , ,,,emerickr,2014-10-16T20:05:41.000Z,8311
8337,101949728,301,A,APT, ,RIVERSIDE,AVE, ,22902, ,R,,,,,8337
8391,6794156,620,, ,W,MAIN,ST, ,22903, ,C,,,emerickr,2014-10-16T20:05:41.000Z,8391
8393,6984753,100,, ,W,MAIN,ST, ,22902, , ,,,emerickr,2014-10-16T20:05:42.000Z,8393
8435,695822450,107,3,APT,W,WATER,ST, ,22902, ,R,,,emerickr,2014-10-16T20:05:42.000Z,8435
8436,695822450,107,8,APT,W,WATER,ST, ,22902, ,R,,,emerickr,2014-10-16T20:05:42.000Z,8436
8437,695822450,107,11,APT,W,WATER,ST, ,22902, ,R,,,emerickr,2014-10-16T20:05:42.000Z,8437
8438,695822450,107,12,APT,W,WATER,ST, ,22902, ,R,,,emerickr,2014-10-16T20:05:41.000Z,8438
8512,290313519,1129,5A,APT, ,PRESTON,AVE, ,22903, ,R,,,emerickr,2014-12-02T15:04:37.000Z,8512
8584,684117139,327,, ,W,MAIN,ST, ,22903, ,C,,,emerickr,2014-10-16T20:05:42.000Z,8584
8786,290313519,1129,11C,APT, ,PRESTON,AVE, ,22903, ,R,,,emerickr,2014-12-02T15:04:37.000Z,8786
8090,7632627,600,, , ,DICE,ST, ,22903, ,R,,,,,8090
8091,559416290,526,, ,,1ST,ST,N ,22902, ,R,,,,,8091
8092,564516336,522,, ,,1ST,ST,N ,22902, ,R,,,,,8092
8093,213912610,1859,, , ,FENDALL,AVE, ,22903, ,R,,,,,8093
8094,214112620,1852,, , ,WINSTON,RD, ,22903, ,R,,,,,8094
8095,224812757,1902,, , ,FENDALL,AVE, ,22903, ,R,,,,,8095
8096,224912743,1845,, , ,FENDALL,AVE, ,22903, ,R,,,,,8096
8099,360514232,2104,, , ,TWYMAN,RD, ,22903, ,R,,,,,8099
8100,361214238,114,, , ,BOLLINGWOOD,RD, ,22903, ,R,,,,,8100
8101,365114343,2107,, , ,MINOR,RD, ,22903, ,R,,,,,8101
8102,7215362,201,, , ,MONTEBELLO,CIR, ,22903, ,R,,,,,8102
8105,1448017343,932,, , ,RAINIER,RD, ,22903, ,R,,,,,8105
8108,381414477,121,, , ,CAMERON,LN, ,22903, ,R,,,,,8108
8109,119005012,938,, , ,ROCK CREEK,RD, ,22903, ,R,,,,,8109
8110,115294580,979,, , ,ROCK CREEK,RD, ,22903, ,R,,,,,8110
8111,116834784,971,, , ,ROCK CREEK,RD, ,22903, ,R,,,,,8111
8115,399814653,511,, , ,14TH,ST,NW,22903, ,R,,,,,8115
8116,402914682,503,, , ,15TH,ST,NW,22903, ,R,,,,,8116
8117,551516270,521,, ,,1ST,ST,N ,22902, ,R,,,,,8117
8118,25110064,2222,, , ,GREENBRIER,DR, ,22901, ,R,,,,,8118
8127,26610094,2517,, , ,HILLWOOD,PL, ,22901, ,R,,,,,8127
8128,26810091,2512,, , ,HILLWOOD,PL, ,22901, ,R,,,,,8128
8129,28610118,2519,, , ,HILLWOOD,PL, ,22901, ,R,,,,,8129
8130,28810123,2514,, , ,HILLWOOD,PL, ,22901, ,R,,,,,8130
8131,30110143,111,, , ,GREENBRIER,TER, ,22901, ,R,,,,,8131
